tiempo, patron
0.0617866516113281,amor
0.0126521587371826,odio
0.0368988513946533,un padre
0.000206947326660156,agua
0.00993180274963379,aire
0.0302319526672363,desgracia
0.0039820671081543,edad
0.00572800636291504,ciudad
0.0610461235046387,pais
0.0224411487579346,los prejuicios
0.0235400199890137,enormes enigmas
0.00023198127746582,nombre
0.0274949073791504,tecnologia
0.00262308120727539,futuro
0.00611209869384766,pasado
0.0272529125213623,hermosos dias
0.00503110885620117,nn
0.00511980056762695,flores
0.00144100189208984,mensaje
0.000275850296020508,as
0.00964784622192383,alto
0.00182294845581055,bajo
0.00225400924682617,noche
0.0251736640930176,una sola cosa
0.0506179332733154,joven
0.0383219718933105,anciano
0.00334405899047852,uno
0.000380992889404297,dos
0.0138390064239502,pez
0.0217671394348145,no cumple con su tarea
