tiempo, patron
0.058964729309082,amor
0.012415885925293,odio
0.0355191230773926,un padre
0.000372886657714844,agua
0.00971102714538574,aire
0.0274159908294678,desgracia
0.00369501113891602,edad
0.00532293319702148,ciudad
0.0557971000671387,pais
0.0216412544250488,los prejuicios
0.0250718593597412,enormes enigmas
0.00114989280700684,nombre
0.0247900485992432,tecnologia
0.00237512588500977,futuro
0.00587892532348633,pasado
0.0254559516906738,hermosos dias
0.00446224212646484,nn
0.0050508975982666,flores
0.00144386291503906,mensaje
-0.000329256057739258,as
0.00896525382995605,alto
0.00178885459899902,bajo
0.00200986862182617,noche
0.0215961933135986,una sola cosa
0.0749690532684326,joven
0.0632891654968262,anciano
0.0048210620880127,uno
0.00191998481750488,dos
0.0210490226745605,pez
0.026817798614502,no cumple con su tarea
